ArrivalDateYear,ArrivalDateDayOfMonth,ArrivalDateWeekNumber,ArrivalDateMonth,Owner,AssignedRoomType,Company,Country,CountryName,CustomerType,DepositType,DistributionChannel,AirBnBType,MarketSegment,Meal,Mealgroup,ReservationStatus,ReservationStatusDate,ReservedRoomType,AmountPaid,Adults,Babies,Children,BookingChanges,DaysInWL,IsCanceled,IsRepeatedGuest,LeadTime,PreviousBookingsNC,PreviousCancellations,RequiredCarParkingSpaces,StaysWeekNights,StaysWeekendNights,Special Requests,Reviews
2015,18,34,August,9,E,,AGO,Angola,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,09/08/20,A,99.3,2,0,0,0,0,0,0,4,0,0,0,10,2,0,4
2015,28,53,December,9,A,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,16/12/22,A,106,2,0,0,0,0,0,0,55,0,0,0,1,1,0,4
2015,4,49,December,9,D,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,20/01/23,A,118.7,1,0,0,0,0,0,0,18,0,0,0,2,1,0,3
2015,3,45,November,9,A,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,24/05/24,A,101,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
2015,17,47,November,9,A,,BEL,Belgium,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,23/10/21,A,91,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5
2015,13,46,November,9,A,,DEU,Germany,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,28/07/21,A,91,1,0,0,0,0,0,0,2,0,0,0,2,1,0,2
2015,10,46,November,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,21/06/20,A,91,2,0,0,0,0,0,0,39,0,0,0,4,0,0,4
2015,18,47,November,9,A,,DEU,Germany,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,27/11/22,A,107,2,0,0,0,0,0,0,2,0,0,0,2,0,0,3
2015,21,47,November,9,A,,BRA,Brazil,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,27/09/24,A,72.3,2,0,0,0,0,0,0,82,0,0,0,1,0,0,3
2015,13,46,November,9,A,,DEU,Germany,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,09/06/20,A,12,2,0,0,1,0,0,0,10,0,0,0,2,0,0,5
2015,3,40,October,9,A,,SWE,Sweden,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,13/10/24,A,158,1,0,0,0,0,0,0,5,0,0,0,1,1,0,2
2015,12,42,October,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,20/11/23,A,126,1,0,0,0,0,0,0,19,0,0,0,2,1,0,3
2015,19,43,October,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,27/02/21,A,139,1,0,0,0,0,0,0,3,0,0,0,0,1,0,3
2015,18,43,October,9,A,,GBR,United Kingdom,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,11/11/24,A,120,1,0,0,1,0,0,0,13,0,0,0,0,2,0,4
2015,1,40,October,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,10/05/24,A,126,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,1,40,October,9,A,,BRA,Brazil,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,22/10/20,A,103.1,2,0,0,0,0,0,0,41,0,0,0,2,0,0,4
2015,1,40,October,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,25/09/23,A,107,2,0,0,0,0,0,0,16,0,0,0,2,0,0,1
2015,1,40,October,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,10/05/22,A,138.7,2,0,0,0,0,0,0,0,0,0,0,3,0,0,4
2015,6,41,October,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,19/02/21,A,151.3,2,0,0,0,0,0,0,5,0,0,0,3,0,0,4
2015,21,43,October,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,25/08/24,A,145,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3
2015,24,43,October,9,A,,GBR,United Kingdom,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,01/06/23,A,96.3,2,0,0,0,0,0,0,40,0,0,0,1,0,0,3
2015,9,41,October,9,A,,GBR,United Kingdom,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,10/09/23,A,94.5,2,0,0,0,0,0,0,53,0,0,0,2,1,0,2
2015,12,42,October,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,31/12/24,A,126,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2015,2,40,October,9,A,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,02/12/23,A,109.4,2,0,0,0,0,0,0,30,0,0,0,2,2,0,3
2015,4,41,October,9,A,,DEU,Germany,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,01/12/22,A,107,2,0,0,0,0,0,0,20,0,0,0,1,2,0,1
2015,4,41,October,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,26/02/20,A,107,2,0,0,0,0,0,0,20,0,0,0,4,2,0,1
2015,18,43,October,9,A,,NLD,Netherlands,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,08/12/21,A,96.3,2,0,0,0,0,0,0,31,0,0,0,0,2,0,2
2015,25,44,October,9,A,,NLD,Netherlands,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,06/09/20,A,89.3,2,0,0,0,0,0,0,90,0,0,0,4,2,0,5
2015,7,41,October,9,B,,BEL,Belgium,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,21/08/21,A,100.2,2,0,0,0,0,0,0,34,0,0,0,3,0,0,3
2015,16,42,October,9,D,,CHE,Switzerland,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,09/07/22,A,108.9,2,0,0,0,0,0,0,35,0,0,0,2,1,0,5
2015,7,41,October,9,E,,BEL,Belgium,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,07/11/22,A,158,1,0,0,0,0,0,0,8,0,0,0,3,0,0,3
2015,7,41,October,9,E,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,18/04/24,A,145,2,0,0,0,0,0,0,9,0,0,0,3,0,0,3
2015,17,38,September,9,A,,CZE,Czechia,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,26/11/22,A,104.5,1,0,0,0,0,0,0,23,0,0,0,2,0,0,1
2015,18,38,September,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,09/12/21,A,114,1,0,0,0,0,0,0,22,0,0,0,1,0,0,5
2015,7,37,September,9,A,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,22/04/23,A,123.5,1,0,0,0,0,0,0,18,0,0,0,3,1,0,4
2015,1,36,September,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,27/12/22,A,105,2,0,0,0,0,0,0,1,0,0,0,1,0,0,3
2015,3,36,September,9,A,,ITA,Italy,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,09/05/21,A,105,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2
2015,3,36,September,9,A,,BEL,Belgium,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,08/11/24,A,114.5,2,0,0,0,0,0,0,3,0,0,0,2,0,0,4
2015,3,36,September,9,A,,SWE,Sweden,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,13/09/23,A,105,2,0,0,0,0,0,0,21,0,0,0,2,0,0,5
2015,3,36,September,9,A,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,25/02/24,A,130.3,2,0,0,0,0,0,0,1,0,0,0,3,0,0,4
2015,8,37,September,9,A,,AUS,Australia,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,08/08/24,A,105,2,0,0,0,0,0,0,26,0,0,0,1,0,0,5
2015,8,37,September,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,14/06/20,A,124,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3
2015,29,40,September,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,19/01/22,A,133.2,2,0,0,0,0,0,0,28,0,0,0,3,0,0,1
2015,8,37,September,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,15/06/24,A,105,2,0,0,1,0,0,0,5,0,0,0,3,0,0,4
2015,7,37,September,9,A,,BEL,Belgium,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,06/01/22,A,111.3,2,0,0,0,0,0,0,7,0,0,0,2,1,0,4
2015,13,38,September,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,29/08/23,A,114,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4
2015,19,38,September,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,17/04/21,A,124,2,0,0,0,0,0,0,22,0,0,0,1,1,0,4
2015,19,38,September,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,12/11/22,A,135.5,2,0,0,0,0,0,0,5,0,0,0,1,1,0,1
2015,21,39,September,9,A,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,11/08/21,A,124,2,0,0,0,0,0,0,19,0,0,0,1,1,0,1
2015,21,39,September,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,16/08/21,A,124,2,0,0,0,0,0,0,14,0,0,0,2,1,0,4
2015,28,40,September,9,A,,BEL,Belgium,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,21/11/24,A,149.9,2,0,0,0,0,0,0,27,0,0,0,3,1,0,3
2015,3,36,September,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,09/01/20,A,105,2,0,0,0,0,0,0,21,0,0,0,3,2,0,3
2015,9,37,September,9,D,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,27/11/20,A,142,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2015,22,39,September,9,D,,SWE,Sweden,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,16/12/21,A,158,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2
2015,15,38,September,9,D,,AUT,Austria,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,23/11/22,A,94.5,2,0,0,0,0,0,0,29,0,0,0,2,0,0,5
2015,17,38,September,9,D,,ITA,Italy,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,05/07/22,A,119.3,2,0,0,0,0,0,0,24,0,0,0,3,1,0,2
2015,29,53,December,9,B,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,29/01/20,B,92.4,2,0,0,0,0,0,0,69,0,0,0,5,2,0,4
2015,29,53,December,9,B,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,23/05/21,B,92.4,2,0,0,0,0,0,0,69,0,0,0,5,2,0,1
2015,8,46,November,9,B,,IRQ,Iraq,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,05/01/23,B,87.7,2,0,0,0,0,0,0,3,0,0,0,3,2,0,1
2015,8,46,November,9,B,,IRQ,Iraq,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,26/01/21,B,87.7,2,0,0,0,0,0,0,3,0,0,0,3,2,0,2
2015,1,45,November,9,B,,ITA,Italy,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,11/08/22,B,85,2,0,0,1,0,0,0,26,0,0,0,3,2,0,4
2015,1,45,November,9,B,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,26/12/24,B,85,2,0,0,1,0,0,0,26,0,0,0,3,2,0,3
2015,30,53,December,9,D,,BEL,Belgium,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,05/05/23,D,120.7,2,0,0,0,0,0,0,72,0,0,0,3,0,0,3
2015,29,40,September,171,D,,IRL,Ireland,Transient,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,13/07/22,D,56.6,2,0,0,0,0,0,0,54,0,0,0,5,2,0,4
2015,29,40,September,8,E,,IRL,Ireland,Contract,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,05/02/20,E,59,2,0,0,0,0,0,0,172,0,0,0,5,2,2,3
2015,29,40,September,5,G,,GBR,United Kingdom,Transient,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,12/06/21,D,62,2,0,0,0,0,0,0,60,0,0,0,4,0,0,4
2015,29,40,September,250,F,,PRT,Portugal,Transient,No Deposit,Direct,Non-Prime Location,Direct,FB,Full Board,No-Show,04/01/23,F,148.1,2,0,0,3,0,1,0,13,0,0,0,5,2,0,4
2015,29,40,September,175,A,,IRL,Ireland,Transient,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,13/07/23,A,44.5,2,0,0,0,0,0,0,165,0,0,0,5,2,0,1
2015,29,40,September,40,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Canceled,26/12/24,A,54.4,1,0,0,0,0,1,0,57,0,0,0,5,2,1,5
2015,29,40,September,69,A,,GBR,United Kingdom,Contract,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,03/07/20,A,44.5,2,0,0,0,0,0,0,55,0,0,0,5,2,1,2
2015,29,40,September,240,A,,PRT,Portugal,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Canceled,11/07/24,A,81.5,2,0,0,0,0,1,0,76,0,0,0,6,2,1,3
2015,29,40,September,240,E,,IRL,Ireland,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Check-Out,01/11/23,E,81.8,2,0,0,0,0,0,0,81,0,0,0,6,2,3,2
2015,29,40,September,240,A,,PRT,Portugal,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Canceled,30/03/20,A,81.5,2,0,0,0,0,1,0,76,0,0,0,6,2,1,1
2015,29,40,September,36,D,,IRL,Ireland,Transient,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,23/07/23,D,48.8,2,0,0,0,0,0,0,96,0,0,0,7,2,2,3
2015,29,40,September,240,A,,BLR,Belarus,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,HB,Half Board,Check-Out,28/09/21,A,80.1,2,0,0,0,0,0,0,61,0,0,0,10,2,2,5
2015,30,40,September,,F,,PRT,Portugal,Transient,No Deposit,Direct,Non-Prime Location,Direct,BB,Breakfast,Check-Out,18/10/23,F,106,2,0,0,1,0,0,0,19,0,0,0,1,0,1,3
2015,30,40,September,,E,,PRT,Portugal,Transient,No Deposit,Direct,Non-Prime Location,Direct,BB,Breakfast,Check-Out,12/07/22,A,104,1,0,1,0,0,0,0,50,0,0,0,1,0,0,4
2015,30,40,September,110,G,,DEU,Germany,Transient,No Deposit,Corporate,Non-Prime Location,Corporate,BB,Breakfast,Check-Out,15/10/22,G,90.1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5
2015,30,40,September,,H,318,PRT,Portugal,Transient,No Deposit,Corporate,Non-Prime Location,Corporate,BB,Breakfast,Check-Out,18/06/23,A,55.5,2,0,0,1,0,0,0,2,0,0,0,2,0,1,4
2015,30,40,September,256,A,,FRA,France,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Check-Out,15/03/22,A,58.5,1,0,0,0,0,0,0,2,0,0,0,3,0,0,1
2015,30,40,September,256,A,,FRA,France,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Check-Out,19/07/20,A,58.5,1,0,0,0,0,0,0,2,0,0,0,3,0,0,2
2015,30,40,September,256,C,,FRA,France,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Check-Out,31/05/24,A,73,2,0,0,0,0,0,0,55,0,0,0,3,0,0,2
2015,30,40,September,240,H,,LTU,Lithuania,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Check-Out,17/09/21,A,55.8,2,0,0,0,0,0,0,56,0,0,0,3,0,2,3
2015,30,40,September,256,A,,FRA,France,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Check-Out,16/07/22,A,58.5,1,0,0,0,0,0,0,2,0,0,0,3,0,0,2
2015,30,40,September,256,A,,FRA,France,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Check-Out,20/06/22,A,58.5,1,0,0,0,0,0,0,2,0,0,0,3,0,0,5
2015,30,40,September,256,A,,FRA,France,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Check-Out,15/09/23,A,73,2,0,0,0,0,0,0,55,0,0,0,3,0,0,2
2015,30,40,September,256,C,,FRA,France,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Check-Out,04/01/24,A,73,2,0,0,0,0,0,0,55,0,0,0,3,0,0,4
2015,30,40,September,256,A,,PRT,Portugal,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Canceled,22/02/24,A,67.5,1,0,0,0,0,1,0,55,0,0,0,3,0,0,2
2015,30,40,September,256,A,,PRT,Portugal,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Canceled,27/02/21,A,13,1,0,0,0,0,1,0,2,0,0,0,3,0,0,5
2015,30,40,September,240,E,,PRT,Portugal,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Check-Out,21/04/20,D,64.3,2,0,0,0,0,0,0,54,0,0,0,4,2,1,2
2015,30,40,September,240,E,,PRT,Portugal,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Canceled,07/05/20,E,79.8,2,0,0,0,0,1,0,142,0,0,0,4,2,1,3
2015,30,40,September,240,E,,PRT,Portugal,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,HB,Half Board,Check-Out,25/02/20,D,100.3,2,1,0,0,0,0,0,51,0,0,1,4,2,2,3
2015,30,40,September,171,A,,FRA,France,Transient,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,22/12/22,A,44.5,2,0,0,0,0,0,0,49,0,0,0,5,2,0,1
2015,30,40,September,2,A,,GBR,United Kingdom,Transient,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,HB,Half Board,Check-Out,16/07/23,A,71.9,2,0,0,0,0,0,0,93,0,0,0,5,2,0,5
2015,30,40,September,171,D,,IRL,Ireland,Transient,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,26/12/21,D,52.7,2,0,0,0,0,0,0,48,0,0,0,5,2,0,5
2015,30,40,September,240,A,,PRT,Portugal,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Canceled,04/02/22,A,58.6,2,0,0,0,0,1,0,68,0,0,0,5,2,0,5
2015,30,40,September,171,A,,DEU,Germany,Transient,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,22/09/20,A,48,2,0,0,0,0,0,0,92,0,0,0,5,2,1,3
2015,30,40,September,241,E,,ROU,Romania,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Check-Out,07/10/21,E,62.4,2,0,0,0,0,0,0,97,0,0,1,5,2,2,2
2015,30,40,September,171,D,,PRT,Portugal,Transient,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,07/12/23,D,52.7,2,0,0,0,0,0,0,48,0,0,0,5,2,0,1
2015,30,40,September,241,A,,GBR,United Kingdom,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Check-Out,21/06/20,A,44.3,2,0,0,0,0,0,0,58,0,0,0,5,2,1,3
2015,30,40,September,240,A,,PRT,Portugal,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Canceled,11/06/23,A,58.6,2,0,0,0,0,1,0,70,0,0,0,5,2,0,1
2015,30,40,September,142,A,,GBR,United Kingdom,Contract,No Deposit,TA/TO,Non-Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,17/02/20,A,54.4,1,0,0,0,0,0,0,41,0,0,0,10,4,0,1
2015,1,40,October,,G,,LUX,Luxembourg,Transient-Party,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Check-Out,20/05/20,A,120,3,0,0,0,0,0,0,0,0,0,0,1,0,2,1
2015,1,40,October,240,E,,PRT,Portugal,Transient,No Deposit,TA/TO,Non-Prime Location,Online TA,BB,Breakfast,Canceled,29/07/20,E,68.4,2,0,0,0,0,1,0,63,0,0,0,2,0,2,5
